AreaCode,Area,StartPinCode,EndPinCode,AreaName
517,TIRUPATHY RMS ( B ),517001,517999,517*** : TIRUPATHY RMS ( B ) : 517 001 - 517 999
518,KURNOOL RMS ( B ),518001,518999,518*** : KURNOOL RMS ( B ) : 518 001 - 518 999
520,VIJAYAWADA RMS ( B ),520001,523999,520*** : VIJAYAWADA RMS ( B ) : 520 001 - 523 999
524,TIRUPATHY RMS ( C ),524001,524999,524*** : TIRUPATHY RMS ( C ) : 524 001 - 524 999
530,VISAKAPATINAM RMS ( A ),530001,533999,530*** : VISAKAPATINAM RMS ( A ) : 530 001 - 533 999
534,VIJAYAWADA RMS ( C ),534001,534999,534*** : VIJAYAWADA RMS ( C ) : 534 001 - 534 999
535,VISAKAPATINAM RMS ( B ),535001,535999,535*** : VISAKAPATINAM RMS ( B ) : 535 001 - 535 999
560,BANGALORE PSO ( A ),560001,563999,560*** : BANGALORE PSO ( A ) : 560 001 - 563 999
570,MYSORE RMS ( A ),570001,570999,570*** : MYSORE RMS ( A ) : 570 001 - 570 999
571,MYSORE RMS ( B ),571001,571999,571*** : MYSORE RMS ( B ) : 571 001 - 571 999
572,BANGALORE PSO ( B ),572001,572999,572*** : BANGALORE PSO ( B ) : 572 001 - 572 999
573,MYSORE RMS ( C ),573001,573999,573*** : MYSORE RMS ( C ) : 573 001 - 573 999
574,MANGALORE RMS,574001,576999,574*** : MANGALORE RMS : 574 001 - 576 999
577,BIRUR RMS,577001,577999,577*** : BIRUR RMS : 577 001 - 577 999
580,HUBLI RMS ( A ),580001,583999,580*** : HUBLI RMS ( A ) : 580 001 - 583 999
584,GULBARGA SORTING,584001,586999,584*** : GULBARGA SORTING : 584 001 - 586 999
587,HUBLI RMS ( B ),587001,587999,587*** : HUBLI RMS ( B ) : 587 001 - 587 999
590,HUBLI RMS ( C ),590001,590999,590*** : HUBLI RMS ( C ) : 590 001 - 590 999
591,HUBLI RMS ( D ),591001,591999,591*** : HUBLI RMS ( D ) : 591 001 - 591 999
600,CHENNAI,600001,600999,600*** : HENNAI : TONDIARPET FORT ST GEORGE : 600 001 : 600 999
601,CHENNAI,601001,601999,601*** : CHENNAI : TRIRUVARUR : 601 001 : 601 999
602,MADHURAVAYAL,602102,602999,602*** : MADHURAVAYAL : 602 102 - 602 102
